Membership No  Date Joined  Active  
    17497      2018-4-13    no    
    96352      2015-3-25    yes   
    86501      2016-3-12    no    
    75205      2018-1-8     no    
    38653      2018-5-24    yes   
    90488      2015-10-11   no    
    62341      2017-8-23    no    
    42342      2016-2-6     no    
    83201      2019-3-8     no    
    19445      2019-10-6    no    
    13146      2020-2-14    yes   
    23762      2016-8-11    yes   
    30304      2019-5-5     yes   
    99414      2020-7-20    no    
    66734      2020-9-3     no    
    29084      2020-11-10   yes   
    26879      2015-2-10    no    
    79287      2017-5-19    yes   
    29687      2017-12-5    yes   
    73987      2020-5-5     no    
