Membership No  Date Joined  Active  
    94418      2016-6-14    no    
    44704      2016-5-1     no    
    72316      2015-5-23    no    
    86701      2018-10-1    no    
    22422      2020-9-11    no    
    46644      2016-8-25    no    
    28228      2017-1-6     no    
    64077      2017-10-19   no    
    39828      2015-11-7    no    
    54300      2019-3-8     no    
    70516      2017-3-9     no    
    41941      2017-4-17    no    
    96991      2018-2-10    no    
    40967      2019-11-17   no    
    29379      2016-11-15   no    
    90404      2018-1-5     no    
    12066      2017-4-17    no    
